time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1775471405.0005643,-0.19,-0.55,0.58,0.5818934610390463,1.0032628582348069,0.58,185400.66516580954,89914.36683394846,4.0000000000000036,0.07955185943561315,Material_EPEfoam_8
1775471405.0112305,-0.21,-0.57,0.62,0.6074537019394975,0.979762455124262,0.62,183000.67496343405,91611.96957827956,4.0000000000000036,0.08677342059761481,Material_EPEfoam_8
1775471405.022707,-0.23,-0.59,0.66,0.6332456079595026,0.9594615886332029,0.66,180600.68455804995,93216.9123295607,4.0000000000000036,0.09426862863216638,Material_EPEfoam_8
1775471405.033475,-0.24,-0.61,0.71,0.6555150646628954,0.9232593540894949,0.71,178200.6937906435,94733.90491072932,4.999999999999993,0.10187881869772025,Material_EPEfoam_8
1775471405.0444922,-0.26,-0.63,0.75,0.6815423684555495,0.9087219463114709,0.75,175800.70287786296,96167.10911096058,4.999999999999993,0.10973875268177558,Material_EPEfoam_8
1775471405.0552337,-0.27,-0.65,0.79,0.7038465741907111,0.890943902844061,0.79,173400.71178730205,97520.2192305525,4.999999999999993,0.11769186704884271,Material_EPEfoam_8
1775471405.0661879,-0.29,-0.67,0.83,0.7300684899377592,0.8795995305279863,0.8299999999999998,171000.72058329734,98796.52608831352,4.999999999999993,0.12587361643071895,Material_EPEfoam_8
1775471405.0772598,-0.31,-0.69,0.87,0.7564390259630976,0.8694691453953474,0.8699999999999999,168600.7292779888,99998.97046501847,4.999999999999993,0.1342698728059185,Material_EPEfoam_8
1775471405.0881948,-0.32,-0.7,0.92,0.7696752561957543,0.8366026299925263,0.9199999999999998,166300.73764401508,101198.14556698539,5.000000000000004,0.14237757876236826,Material_EPEfoam_8
1775471405.0995069,-0.34,-0.72,0.96,0.7962411694957753,0.8294170209153692,0.9599999999999997,164000.74593818528,102331.59501769714,5.000000000000004,0.1507068972635794,Material_EPEfoam_8
1775471405.110834,-0.36,-0.74,1.0,0.8229216244576394,0.8229208015368379,0.9999999999999999,161700.7541673933,103401.48020628227,5.000000000000004,0.1592427493946791,Material_EPEfoam_8
1775471405.1215043,-0.37,-0.76,1.05,0.8452810183601664,0.8050287746013256,1.0499999999999998,159400.76221768104,104409.75534681966,5.000000000000004,0.16783009998300116,Material_EPEfoam_8
1775471405.132201,-0.39,-0.78,1.09,0.8720665112249181,0.80006028547214,1.0899999999999999,157100.7702182839,105358.18906942541,5.000000000000004,0.17660451602014413,Material_EPEfoam_8
1775471405.1432886,-0.41,-0.8,1.13,0.8989438247187641,0.7955248045964245,1.13,154800.77817353196,106248.38391261353,5.000000000000004,0.1855531577367782,Material_EPEfoam_8
1775471405.1542666,-0.42,-0.82,1.17,0.9213034245024816,0.7874381513370345,1.17,152500.78604791345,107081.79239230114,5.000000000000004,0.19452418116232142,Material_EPEfoam_8
1775471405.165052,-0.44,-0.84,1.21,0.9482615672903758,0.7836865980196511,1.21,150200.79388477944,107859.73077830068,5.000000000000004,0.20365335858931985,Material_EPEfoam_8
