time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1775471637.654868,9.41,3.46,0.62,10.02595132643282,16.17086315414462,0.62,10339780.448886747,3049037.925278803,10.000000000000004,0.20547267183115905,Material_Wood_15
1775471637.664138,9.21,3.49,0.72,9.849071022182752,13.679246309633948,0.72,10227612.987862373,3216437.092728519,10.000000000000004,0.2447282319879563,Material_Wood_15
1775471637.6760893,9.02,3.53,0.82,9.686139581897423,11.812350938471324,0.82,10115445.508169044,3371815.560233847,10.000000000000004,0.2858677856213064,Material_Wood_15
1775471637.6859868,8.82,3.58,0.93,9.51886547861666,10.235328218589721,0.9300000000000002,10003278.012705486,3516766.981404422,11.00000000000001,0.3289777708756891,Material_Wood_15
1775471637.6971998,8.62,3.62,1.03,9.34926735097462,9.07694978060664,1.0300000000000002,9891110.505658146,3652532.9520530375,11.00000000000001,0.3740071755612135,Material_Wood_15
1775471637.7082982,8.42,3.67,1.13,9.185058519138568,8.128363177677338,1.13,9778847.948455058,3780067.036703343,11.00000000000001,0.4205245341441574,Material_Wood_15
1775471637.7191427,8.22,3.71,1.24,9.01845330419801,7.272940347788437,1.2400000000000002,9666585.38269774,3900206.538119459,11.00000000000001,0.46856941658380113,Material_Wood_15
1775471637.7302167,8.02,3.76,1.34,8.857652059095571,6.610183170830149,1.34,9554322.810312852,4013615.5318255587,11.00000000000001,0.5177930603066165,Material_Wood_15
1775471637.741048,7.81,3.8,1.45,8.685395788333425,5.989923998903053,1.45,9442091.279294025,4120863.1710426747,11.00000000000001,0.5686250446868198,Material_Wood_15
1775471637.7519865,7.61,3.85,1.55,8.528458242847883,5.502227574593747,1.5500000000000003,9329859.743398236,4222407.508696133,11.00000000000001,0.6203171644728717,Material_Wood_15
1775471637.7630312,7.41,3.89,1.66,8.369002330027158,5.041564631603932,1.66,9217597.15532716,4318636.437937482,11.00000000000001,0.6729345612627646,Material_Wood_15
1775471637.7740493,7.21,3.94,1.77,8.21630695629125,4.641978708651154,1.77,9105365.610828884,4409925.406864803,11.00000000000001,0.7262041640956013,Material_Wood_15
1775471637.785037,7.01,3.99,1.87,8.065990329773523,4.313361506102683,1.87,8993103.015475778,4496546.803272217,11.00000000000001,0.7800065782321003,Material_Wood_15
1775471637.7959573,6.81,4.05,1.98,7.923294769223217,4.001662003818795,1.98,8880840.41700568,4578779.148272572,11.00000000000001,0.8340776517322236,Material_Wood_15
1775471637.8069692,6.6,4.11,2.09,7.775094854726854,3.7201392988457203,2.09,8768577.815720351,4656854.957010616,11.00000000000001,0.8886283733140851,Material_Wood_15
1775471637.8177712,6.4,4.17,2.2,7.638645167829175,3.4721098616905963,2.2,8656315.211954731,4730980.0202768445,11.000000000000032,0.9432501230510247,Material_Wood_15
1775471637.8290443,6.2,4.23,2.31,7.5055246318961615,3.249143455737102,2.3100000000000005,8544083.6535281,4801354.654937666,11.000000000000032,0.9978757128556847,Material_Wood_15
1775471637.8398316,5.99,4.29,2.42,7.36778121282113,3.0445364331754945,2.4200000000000004,8431852.0930554,4868125.849011615,11.000000000000032,1.0526683596102948,Material_Wood_15
1775471637.8505998,5.79,4.35,2.53,7.242002485500816,2.8624504438934277,2.5300000000000002,8319620.530761839,4931439.974804921,11.000000000000032,1.107257196823987,Material_Wood_15
1775471637.8617573,5.58,4.41,2.64,7.112278116046926,2.6940437204557592,2.6400000000000006,8207388.96678421,4991428.587978271,11.000000000000032,1.1617979932545723,Material_Wood_15
1775471637.8727293,5.38,4.47,2.75,6.99466225060224,2.5435126207598615,2.7500000000000004,8095157.40130127,5048210.24216853,11.000000000000032,1.2159434620016814,Material_Wood_15
1775471637.8833134,5.18,4.53,2.86,6.881373409429254,2.4060737773970198,2.8600000000000008,7982925.834443944,5101892.0140224,11.000000000000032,1.2696099517300874,Material_Wood_15
1775471637.8947203,4.97,4.59,2.97,6.7652790038549036,2.277870951509748,2.970000000000001,7870694.266304587,5152570.792074399,11.000000000000032,1.3229208750673156,Material_Wood_15
1775471637.9056497,4.77,4.65,3.08,6.661486320634458,2.1628195317580925,3.0800000000000005,7758367.621463951,5200270.940172054,11.000000000000032,1.3755090559447942,Material_Wood_15
1775471637.9164915,4.56,4.72,3.19,6.562926176637979,2.057342984105014,3.1900000000000004,7646040.975568551,5245132.543692764,11.000000000000032,1.4273323266471492,Material_Wood_15
1775471637.9275086,4.36,4.78,3.3,6.469775884835579,1.960537552817584,3.3000000000000007,7533714.328705094,5287227.857246345,11.000000000000032,1.4783001752865754,Material_Wood_15
1775471637.938152,4.15,4.85,3.41,6.383181025162925,1.8719000449451257,3.410000000000001,7421387.680955265,5326622.465497599,11.000000000000032,1.5282982889900154,Material_Wood_15
1775471637.9494336,3.95,4.91,3.52,6.301634708549837,1.790236624520799,3.5200000000000005,7309061.032388799,5363375.87959243,11.000000000000032,1.57725900012048,Material_Wood_15
1775471637.960174,3.74,4.98,3.63,6.228001284521383,1.7157023605562045,3.630000000000001,7196734.383076993,5397542.053603266,11.000000000000032,1.6250475022594535,Material_Wood_15
1775471637.971534,3.54,5.04,3.74,6.158993424253675,1.6467892453113446,3.740000000000001,7084407.733076054,5429169.832719415,11.000000000000032,1.6716192037736741,Material_Wood_15
1775471637.9820755,3.33,5.11,3.86,6.099262250469314,1.580119344650251,3.86,6972081.082408416,5458303.342733992,11.999999999999966,1.7168215301569518,Material_Wood_15
1775471637.993652,3.13,5.17,3.97,6.0436578328029125,1.5223315643504653,3.9700000000000006,6859754.431162901,5484982.328605932,11.999999999999966,1.7606333089007167,Material_Wood_15
1775471638.0039773,2.92,5.24,4.08,5.998666518485588,1.4702610412315065,4.080000000000001,6747427.77939668,5509242.449085393,11.999999999999966,1.8028875600282723,Material_Wood_15
1775471638.0148351,2.72,5.31,4.19,5.96611263722032,1.4238928910089328,4.19,6635101.127166779,5531115.532444481,11.999999999999966,1.8433931424590926,Material_Wood_15
1775471638.0261066,2.51,5.37,4.3,5.927647088010554,1.3785222580205339,4.300000000000001,6522774.474483171,5550629.798140863,11.999999999999966,1.8823666193824153,Material_Wood_15
1775471638.0366082,2.31,5.44,4.41,5.910135362240022,1.3401664449146433,4.41,6410447.821416004,5567810.047934582,11.999999999999966,1.9194438627407993,Material_Wood_15
1775471638.0477767,2.1,5.5,4.52,5.88727441181401,1.3024940507345044,4.52,6298121.167972113,5582677.830084779,11.999999999999966,1.9548274661843632,Material_Wood_15
1775471638.058555,1.9,5.58,4.64,5.89460770535241,1.2703893178799768,4.64,6185794.514207175,5595251.5787034035,12.00000000000001,1.9880024375196401,Material_Wood_15
1775471638.0696297,1.69,5.65,4.75,5.8973383826943495,1.2415446612946712,4.750000000000001,6073467.86015379,5605546.730931558,12.00000000000001,2.0191705612275697,Material_Wood_15
