time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1775471468.9308608,-0.75,-2.09,0.53,2.2204954402114856,4.189606133217645,0.53,178525.12426778875,136875.0525867183,3.0,0.5461416006911661,Material_EPEfoam_18
1775471468.9416192,-0.78,-2.16,0.55,2.2965191050805567,4.1754816901797565,0.55,175661.60180995043,137582.7084527089,3.0,0.5713653665819944,Material_EPEfoam_18
1775471468.952897,-0.8,-2.22,0.56,2.3597457490161946,4.213824169985758,0.56,172798.07973553688,138227.43452552857,3.0,0.5966548199817199,Material_EPEfoam_18
1775471468.9638596,-0.82,-2.28,0.58,2.4229733799610758,4.177533107634428,0.58,169934.5572982127,138810.10860824666,3.0,0.6220030188738119,Material_EPEfoam_18
1775471468.9750774,-0.84,-2.34,0.59,2.486201922612079,4.213894421555351,0.59,167071.03522450157,139331.5083000384,3.0,0.647402238116789,Material_EPEfoam_18
1775471468.9861012,-0.86,-2.41,0.61,2.5588473967784795,4.194824921235341,0.6099999999999999,164207.5129600955,139792.31990272694,3.0,0.6731053496742809,Material_EPEfoam_18
1775471468.9965894,-0.88,-2.47,0.62,2.622079327556663,4.229153384521417,0.62,161343.9910389741,140193.1402463066,3.0,0.6988254058601839,Material_EPEfoam_18
1775471469.0076935,-0.91,-2.53,0.64,2.6886799735186035,4.201055894472983,0.64,158480.4688368778,140534.4833623586,3.0,0.7246454039381698,Material_EPEfoam_18
1775471469.0190508,-0.93,-2.59,0.65,2.751908428709066,4.233698761554314,0.65,155616.9469612101,140816.78108568166,3.0,0.7504605654856806,Material_EPEfoam_18
1775471469.0299082,-0.95,-2.65,0.67,2.8151376520518494,4.2016917169554215,0.67,152753.424765472,141040.38868159964,3.0,0.7762626467231378,Material_EPEfoam_18
1775471469.0412083,-0.97,-2.72,0.68,2.887784618007375,4.246735840105198,0.68,149889.90302017514,141205.58413115348,3.0,0.8022862820559308,Material_EPEfoam_18
1775471469.0515006,-0.99,-2.78,0.7,2.951016773927251,4.215732225992893,0.6999999999999998,147026.38096484213,141312.57310578064,3.0,0.8282650891512435,Material_EPEfoam_18
