time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1775471200.0748289,-0.29,-0.51,0.59,0.5866856057549051,0.9943806972444201,0.59,0.27605150021147373,0.6198527352287795,6.999999999999995,0.12768958284582296,Material_Bottle_2
1775471200.0854864,-0.32,-0.54,0.65,0.6276941930590086,0.9656818882724928,0.65,0.28570831909419864,0.6229911842340528,6.999999999999995,0.14002332065468384,Material_Bottle_2
1775471200.0968037,-0.35,-0.56,0.72,0.6603786792439623,0.917191336184203,0.72,0.29488023245604067,0.6254640734777379,6.999999999999995,0.15235203712563217,Material_Bottle_2
1775471200.1075594,-0.38,-0.59,0.8,0.70178344238091,0.8772282064408793,0.8,0.3036525145204495,0.6274154145315978,8.000000000000007,0.1650355642699542,Material_Bottle_2
1775471200.1194293,-0.42,-0.61,0.87,0.740607858451421,0.8512724220448263,0.87,0.31216523874089774,0.6290107018593781,8.000000000000007,0.17794872778985785,Material_Bottle_2
1775471200.1295366,-0.44,-0.62,0.95,0.7602631123499285,0.8002761179724321,0.95,0.32016799992062206,0.6300781457950974,8.000000000000007,0.1903881063884251,Material_Bottle_2
1775471200.1404715,-0.46,-0.64,1.02,0.7881624198095212,0.7727074971588471,1.02,0.32789507489221054,0.6308419822783244,8.000000000000007,0.20272026058400666,Material_Bottle_2
1775471200.1512034,-0.49,-0.66,1.09,0.8220097323024831,0.7541366772163357,1.09,0.33543644166437386,0.6313845117091377,8.000000000000007,0.2151683932518973,Material_Bottle_2
1775471200.1625552,-0.51,-0.68,1.16,0.8500000000000001,0.7327579890017338,1.16,0.34276402155439123,0.6317010180892244,8.000000000000007,0.22753526854308243,Material_Bottle_2
1775471200.1748881,-0.53,-0.71,1.24,0.8860022573334675,0.7145173732387857,1.24,0.34990919528677905,0.6318245456987732,8.000000000000007,0.24009210947577986,Material_Bottle_2
1775471200.1842039,-0.55,-0.74,1.3,0.9220086767487604,0.709236898086048,1.3,0.3570015642676395,0.6318376012712665,8.000000000000007,0.25282416020240045,Material_Bottle_2
1775471200.1952133,-0.58,-0.77,1.37,0.9640020746865642,0.7036506357926484,1.37,0.36403807062556603,0.6317407669111588,8.000000000000007,0.26590361547775154,Material_Bottle_2
1775471200.2061858,-0.6,-0.8,1.44,1.0,0.694443962191693,1.4399999999999997,0.3709825102474829,0.6315177073519037,8.000000000000007,0.2791170776497957,Material_Bottle_2
1775471200.2172778,-0.62,-0.84,1.5,1.0440306508910548,0.6960199699140567,1.4999999999999998,0.3779427099466235,0.6312260954617787,8.000000000000007,0.2926966610039633,Material_Bottle_2
1775471200.2281024,-0.63,-0.89,1.56,1.0904127658827183,0.6989820941670668,1.5599999999999996,0.3849325308882941,0.6308722389971795,8.000000000000007,0.3066827503727884,Material_Bottle_2
1775471200.239527,-0.65,-0.92,1.63,1.1264546151532249,0.6910760270412257,1.6299999999999994,0.3918432911587065,0.6304026738512504,8.000000000000007,0.3207345385325856,Material_Bottle_2
1775471200.250024,-0.67,-0.96,1.69,1.1706835610018618,0.6927117563846777,1.6899999999999997,0.39877040872255315,0.6298645512540582,8.000000000000007,0.3350850654716401,Material_Bottle_2
1775471200.2611582,-0.69,-1.0,1.76,1.2149485585818027,0.6903112887900648,1.7599999999999998,0.40567352161045384,0.6292388119130216,8.000000000000007,0.34971011994838946,Material_Bottle_2
1775471200.2720354,-0.71,-1.04,1.82,1.2592458060283545,0.6918929198546344,1.8199999999999996,0.41259245080900014,0.6285436470241432,8.000000000000007,0.3645870802052793,Material_Bottle_2
1775471200.2829936,-0.73,-1.07,1.88,1.2952991932368367,0.6889885660895058,1.8799999999999997,0.41948233646989536,0.6277589254728014,8.000000000000007,0.37946102306070123,Material_Bottle_2
1775471200.2940958,-0.75,-1.11,1.95,1.3396268137059664,0.6869877572913893,1.9499999999999997,0.4263522140428091,0.6268891532707245,8.000000000000007,0.39455946502968947,Material_Bottle_2
1775471200.3049483,-0.77,-1.15,2.02,1.3839797686382558,0.6851381601485621,2.0199999999999996,0.4332035956442949,0.6259353070513463,8.000000000000007,0.4098627710035153,Material_Bottle_2
1775471200.3156488,-0.79,-1.18,2.08,1.4200352108310552,0.6827089077510323,2.0799999999999996,0.44003068472180523,0.6248954111874195,8.000000000000007,0.42512626253484165,Material_Bottle_2
1775471200.32654,-0.81,-1.21,2.15,1.4560906565183365,0.6772511531475272,2.15,0.4468031962532805,0.6237586660577022,8.000000000000007,0.4403487203941404,Material_Bottle_2
1775471200.3380377,-0.83,-1.25,2.22,1.5004665940966495,0.675885548743739,2.22,0.45356205174071784,0.6225412818721247,8.000000000000007,0.45574706635749146,Material_Bottle_2
1775471200.3484342,-0.85,-1.28,2.28,1.5365220467015759,0.6739128828020584,2.28,0.46030118056873837,0.6212411700115578,8.000000000000007,0.4710867327879435,Material_Bottle_2
1775471200.3597217,-0.87,-1.31,2.35,1.5725775020646837,0.6691816310140649,2.35,0.466992996878879,0.6198494571823494,8.000000000000007,0.4863658288592925,Material_Bottle_2
1775471200.3704493,-0.89,-1.34,2.43,1.6086329600005094,0.6619886000049009,2.43,0.473612882878928,0.6183598749430991,8.000000000000007,0.5015818951043247,Material_Bottle_2
1775471200.381541,-0.91,-1.37,2.5,1.6446884203398526,0.6578751049858991,2.5000000000000004,0.48019163392878705,0.6167836646758231,8.000000000000007,0.5167319845297007,Material_Bottle_2
1775471200.392277,-0.93,-1.4,2.57,1.6807438829280326,0.6539856921954632,2.57,0.4867314908507416,0.6151223642303332,8.000000000000007,0.5318127287728021,Material_Bottle_2
1775471200.403231,-0.95,-1.42,2.64,1.7084788555905512,0.6471508365301949,2.64,0.4932029992160436,0.6133693102679795,8.000000000000007,0.5466199364267997,Material_Bottle_2
1775471200.4141798,-0.97,-1.46,2.72,1.7528548142958102,0.6444316800971066,2.72,0.4996473160170147,0.6115362546198213,8.000000000000007,0.5615583879196179,Material_Bottle_2
1775471200.4252698,-0.99,-1.48,2.79,1.7805897899291683,0.6382039970341116,2.79,0.5060293559873558,0.6096157522692228,8.000000000000007,0.5762195006494794,Material_Bottle_2
1775471200.4362087,-1.01,-1.5,2.86,1.8083417818543044,0.632287115233283,2.86,0.5123522271396886,0.6076101874077242,8.000000000000007,0.590612259462412,Material_Bottle_2
1775471200.4474092,-1.03,-1.51,2.93,1.827840255602223,0.623836051797328,2.93,0.5185905876576619,0.6055166893527796,8.000000000000007,0.6045573710426774,Material_Bottle_2
1775471200.4587903,-1.04,-1.52,3.01,1.8417383093154143,0.61187298918353,3.0099999999999993,0.5247093175494972,0.6033329730070572,8.000000000000007,0.617950839978669,Material_Bottle_2
1775471200.469416,-1.07,-1.52,3.08,1.8588437266214717,0.6035204945133043,3.080000000000001,0.5307445224946302,0.6010683538132051,8.000000000000007,0.6308874871630964,Material_Bottle_2
1775471200.480269,-1.09,-1.52,3.14,1.8704277585621958,0.5956774404091577,3.14,0.5367012968987218,0.5987261044510448,8.000000000000007,0.6432686999379135,Material_Bottle_2
1775471200.4911394,-1.1,-1.51,3.22,1.8681809334215997,0.5801802339258899,3.22,0.5425030992379807,0.5963033696026394,8.000000000000007,0.6548365097160279,Material_Bottle_2
1775471200.502035,-1.11,-1.49,3.28,1.8580096878111267,0.5664661955319912,3.2799999999999994,0.5481677611933006,0.5938082740897147,8.000000000000007,0.6654802932302332,Material_Bottle_2
1775471200.5130885,-1.11,-1.47,3.32,1.8420097719610502,0.5548220533551196,3.32,0.5537159817268518,0.5912470274582714,8.000000000000007,0.6751443574337309,Material_Bottle_2
1775471200.5241868,-1.1,-1.47,3.36,1.8360010893242955,0.5464287330046317,3.3599999999999994,0.5591802690568981,0.5886235691831908,8.000000000000007,0.6840671903985103,Material_Bottle_2
