time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1775471610.281085,7.66,2.35,0.54,8.012371683839936,14.837697863226058,0.54,8957973.54338185,4196976.888196807,4.0000000000000036,0.6206725120073522,Material_Wood_11
1775471610.2921538,7.45,2.28,0.58,7.7910782308997515,13.432870341430018,0.58,8848906.496578922,4285696.421679034,4.0000000000000036,0.6843334856316119,Material_Wood_11
1775471610.302949,7.24,2.21,0.62,7.569788636415154,12.209316817900541,0.62,8739839.43754046,4369894.919789615,4.0000000000000036,0.750014678691144,Material_Wood_11
1775471610.3146791,7.04,2.14,0.66,7.358070399228319,11.14857462220257,0.66,8630772.367894575,4449829.023409702,4.0000000000000036,0.8171772924897146,Material_Wood_11
1775471610.3250463,6.83,2.07,0.69,7.13679199640847,10.3431618162995,0.6899999999999998,8521705.290194562,4525724.687943683,4.0000000000000036,0.8861048335283008,Material_Wood_11
1775471610.336527,6.63,2.0,0.73,6.925092057149854,9.486414480459416,0.7299999999999999,8412638.203927075,4597781.905856394,4.0000000000000036,0.9563055507617605,Material_Wood_11
1775471610.3470984,6.42,1.93,0.77,6.703827265077763,8.706257868597264,0.7699999999999999,8303571.109858022,4666178.503607185,4.0000000000000036,1.0280593479929134,Material_Wood_11
1775471610.357903,6.21,1.86,0.81,6.482568935229304,8.003161644527975,0.8099999999999998,8194504.008758008,4731073.245516724,4.0000000000000036,1.101253652047382,Material_Wood_11
1775471610.3687453,6.01,1.79,0.85,6.270901051683083,7.37752196960131,0.8499999999999999,8085436.901401596,4792608.383484833,4.0000000000000036,1.175449833166467,Material_Wood_11
1775471610.379938,5.8,1.72,0.88,6.049661147535455,6.874607128327644,0.8799999999999999,7976369.789016037,4850911.769231481,4.0000000000000036,1.2509203383791856,Material_Wood_11
1775471610.3907158,5.6,1.65,0.92,5.838021925275718,6.345669108268053,0.9199999999999998,7867302.671341096,4906098.621257615,4.0000000000000036,1.3272514923675882,Material_Wood_11
1775471610.4016685,5.39,1.58,0.96,5.61680514171535,5.850832594669537,0.9599999999999997,7758235.548717791,4958273.003234949,4.0000000000000036,1.4047073630377487,Material_Wood_11
