time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1775472089.2515974,-0.96,-0.45,0.65,1.0602358228243374,1.6311295256843255,0.65,230102.46618624614,86097.93875100982,8.000000000000007,0.1335383379121622,Material_Silicone_7
1775472089.262427,-1.08,-0.47,0.73,1.1778370006074694,1.6134731330607348,0.73,227202.48232097746,88870.87278392815,8.000000000000007,0.15979672570800632,Material_Silicone_7
1775472089.273362,-1.2,-0.5,0.81,1.3,1.6049362902021107,0.81,224302.49837034036,91467.96831153754,8.000000000000007,0.18798803076507684,Material_Silicone_7
1775472089.284414,-1.32,-0.52,0.89,1.4187318280774561,1.5940789146051026,0.89,221402.5143111295,93903.81599782023,8.000000000000007,0.21770472082335524,Material_Silicone_7
1775472089.2951896,-1.45,-0.55,0.98,1.5508062419270823,1.5824537341564777,0.98,218502.5301356668,96190.66652528937,8.999999999999996,0.24945097672835484,Material_Silicone_7
1775472089.3062234,-1.58,-0.57,1.06,1.6796725871431017,1.5845952854224683,1.06,215702.54598161968,98409.40838832318,8.999999999999996,0.28280918027515195,Material_Silicone_7
1775472089.316985,-1.7,-0.59,1.15,1.7994721448246982,1.564757026145802,1.15,212902.56162918994,100501.24006223003,8.999999999999996,0.3172266246341536,Material_Silicone_7
1775472089.3278694,-1.83,-0.62,1.23,1.932174940319846,1.5708726580871448,1.23,210102.5773379165,102473.93326259364,8.999999999999996,0.35320888018994206,Material_Silicone_7
1775472089.3389094,-1.95,-0.64,1.32,2.0523401277566053,1.554801949208073,1.32,207302.59288593597,104334.24646363116,9.000000000000007,0.390073902235334,Material_Silicone_7
1775472089.3498795,-2.08,-0.67,1.4,2.1852459815773604,1.560888871920349,1.3999999999999997,204502.6084948247,106088.09132604218,9.000000000000007,0.4283048908362298,Material_Silicone_7
1775472089.361048,-2.21,-0.69,1.49,2.315210573576408,1.5538315568757393,1.4899999999999998,201702.62403314028,107740.66762629617,9.000000000000007,0.46766423871202745,Material_Silicone_7
1775472089.3724144,-2.33,-0.71,1.57,2.4357750306627253,1.5514480759328977,1.5699999999999996,198902.63954762105,109296.56894627374,9.000000000000007,0.5076999871371894,Material_Silicone_7
1775472089.383083,-2.46,-0.74,1.66,2.568890811225732,1.547523652832578,1.6599999999999995,196102.65502285762,110759.86951711569,9.000000000000007,0.5488620004540031,Material_Silicone_7
1775472089.3942287,-2.59,-0.76,1.74,2.6992035862453947,1.5512655373447457,1.74,193302.67053551303,112134.1944561309,9.000000000000007,0.5909562402897265,Material_Silicone_7
1775472089.40489,-2.71,-0.78,1.83,2.820017730440715,1.5409924532504162,1.83,190502.68594543752,113422.77835639633,9.000000000000007,0.6335725710846163,Material_Silicone_7
1775472089.4158547,-2.84,-0.81,1.92,2.953252444339969,1.5381515136398205,1.92,187702.70132695267,114628.51267070803,9.000000000000007,0.6771296110156352,Material_Silicone_7
1775472089.4267912,-2.97,-0.83,2.0,3.083796361629607,1.5418974098660985,2.0,184902.71674592674,115753.98629219306,9.000000000000007,0.7214618922496331,Material_Silicone_7
