time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1775471275.4215574,-0.26,-0.37,0.54,0.4522167621838005,0.8374368976794496,0.54,0.07384395002025665,0.18401143508939605,5.000000000000002,0.07933077437836017,Material_Bottle_15
1775471275.4326644,-0.29,-0.44,0.58,0.5269724850502159,0.9085716835836763,0.58,0.08292966685609342,0.20171968817022126,5.000000000000002,0.0936783511797033,Material_Bottle_15
1775471275.4434018,-0.31,-0.51,0.61,0.596824932455071,0.9783999246805677,0.6099999999999999,0.09271366610289908,0.2203293046425361,5.000000000000002,0.10925545912846708,Material_Bottle_15
1775471275.4545143,-0.34,-0.58,0.65,0.6723094525588644,1.034320643443417,0.65,0.10305687253733326,0.239203468461181,5.000000000000002,0.12617388922882677,Material_Bottle_15
1775471275.4655666,-0.37,-0.65,0.69,0.7479304780526062,1.0839556436187863,0.6899999999999998,0.1138964289735211,0.2581011819838204,5.000000000000002,0.14425786085829861,Material_Bottle_15
1775471275.4768164,-0.4,-0.72,0.73,0.82365041127896,1.128286689030508,0.7299999999999999,0.1251792958638262,0.2768556827804632,5.000000000000002,0.16337118274612855,Material_Bottle_15
1775471275.4874935,-0.43,-0.79,0.78,0.8994442728707543,1.1531322047930121,0.7799999999999998,0.13671061791175632,0.2948326151705295,5.000000000000004,0.18340602095750558,Material_Bottle_15
1775471275.4980643,-0.45,-0.86,0.82,0.9706183596038146,1.183679482834551,0.8199999999999997,0.14854741274010183,0.3123470847745569,5.000000000000004,0.20406980304376487,Material_Bottle_15
1775471275.5091934,-0.48,-0.92,0.87,1.0376897416858277,1.1927454585521484,0.8699999999999999,0.1604748673256233,0.3287875749549149,5.000000000000004,0.2251489973316535,Material_Bottle_15
1775471275.5201375,-0.51,-0.99,0.92,1.113642671596235,1.2104798490395499,0.9199999999999998,0.1725796658160188,0.3445610629250635,5.000000000000004,0.24699828245870759,Material_Bottle_15
1775471275.531037,-0.54,-1.06,0.97,1.1896217886370442,1.226412950746488,0.9699999999999998,0.18484379532348372,0.3596939334006281,5.000000000000004,0.2695513258685577,Material_Bottle_15
1775471275.542093,-0.57,-1.13,1.03,1.2656223765404908,1.2287583959049466,1.03,0.1971313792825332,0.37387784857094764,6.000000000000005,0.292750889359748,Material_Bottle_15
1775471275.553034,-0.6,-1.19,1.08,1.3327040181525678,1.2339840594152856,1.08,0.20947121987668602,0.38729110625233537,6.000000000000005,0.31620784362484533,Material_Bottle_15
1775471275.5637894,-0.63,-1.26,1.13,1.4087228258248676,1.2466562647509762,1.13,0.22193778252419574,0.4001971164956789,6.000000000000005,0.34025169051267834,Material_Bottle_15
1775471275.5747871,-0.66,-1.33,1.19,1.484755872189095,1.2476929617614567,1.19,0.2344147121418103,0.41234843441315033,6.000000000000005,0.36483725119733823,Material_Bottle_15
1775471275.5857127,-0.69,-1.4,1.24,1.5608010763707205,1.2587095303719276,1.2399999999999998,0.2470018074455296,0.42404609722132414,6.000000000000005,0.38992389358484136,Material_Bottle_15
1775471275.5967631,-0.72,-1.47,1.3,1.6368567438844486,1.2591196036652654,1.3,0.2595930034821822,0.43507502773250106,6.000000000000005,0.41547469884326715,Material_Bottle_15
1775471275.6077282,-0.75,-1.54,1.35,1.712921480979207,1.2688297867773484,1.35,0.27228130134995576,0.44569158666800746,6.000000000000005,0.4414558112299217,Material_Bottle_15
1775471275.6192153,-0.78,-1.6,1.41,1.7800000000000002,1.262410452191169,1.4099999999999997,0.28490540587186747,0.45556976270871297,6.000000000000005,0.4675375535728592,Material_Bottle_15
1775471275.6297386,-0.82,-1.67,1.47,1.8604569331215381,1.2656161003438353,1.4699999999999998,0.29756156687530577,0.46496220711224995,6.000000000000005,0.4941565439483387,Material_Bottle_15
1775471275.640511,-0.85,-1.74,1.52,1.9365174928205529,1.27402382815574,1.5199999999999998,0.31030180515686323,0.4740009461883595,6.000000000000005,0.5211278360479945,Material_Bottle_15
1775471275.6513572,-0.88,-1.8,1.58,2.003596765818911,1.268098416278794,1.58,0.32298278931965113,0.4824178282444106,6.000000000000005,0.5481430951871848,Material_Bottle_15
1775471275.6624267,-0.91,-1.87,1.64,2.0796634343085425,1.268086686720644,1.6399999999999997,0.33566365618685756,0.4903623064331192,6.000000000000005,0.5754797274829878,Material_Bottle_15
1775471275.673454,-0.94,-1.94,1.7,2.155736533067063,1.2680795676397032,1.6999999999999997,0.3483444518632546,0.49785709034810266,6.000000000000005,0.6031114777765999,Material_Bottle_15
1775471275.6849313,-0.96,-2.0,1.76,2.2184679398179274,1.260492431434941,1.7599999999999998,0.36094937617760403,0.5047865876663488,6.000000000000005,0.6306179062768162,Material_Bottle_15
