time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1775471283.256769,-0.25,-0.09,0.62,0.26570660511172844,0.4285583492796438,0.62,0.05925186335541847,0.13624120202076423,7.000000000000006,0.04923139055227173,Material_Bottle_16
1775471283.268169,-0.28,-0.1,0.7,0.2973213749463701,0.42474421457450795,0.7,0.06349930550116355,0.14087002207058438,7.9999999999999964,0.05658495627141373,Material_Bottle_16
1775471283.2795062,-0.31,-0.1,0.79,0.3257299494980466,0.41231586985085666,0.79,0.06762246419967212,0.14492677812664498,9.000000000000007,0.06423841638694124,Material_Bottle_16
1775471283.2902985,-0.35,-0.09,0.87,0.36138621999185305,0.41538598230559853,0.87,0.0717763240227281,0.14882937591534118,9.000000000000007,0.07250200850636151,Material_Bottle_16
1775471283.3004565,-0.38,-0.09,0.98,0.3905124837953327,0.39848171970776836,0.98,0.07576114121980577,0.15215173385818134,10.999999999999998,0.0810059146846788,Material_Bottle_16
1775471283.3115444,-0.42,-0.09,1.05,0.42953463189829055,0.4090802122076937,1.05,0.07985194334188271,0.1555218119097828,10.999999999999998,0.09016767373797893,Material_Bottle_16
1775471283.3224094,-0.45,-0.09,1.14,0.4589117562233506,0.4025538190083611,1.14,0.08387748153196632,0.15858256744993732,10.999999999999998,0.09949754295125122,Material_Bottle_16
1775471283.3332894,-0.48,-0.1,1.24,0.4903060268852505,0.395407767320551,1.24,0.08783155920517183,0.1613473050265231,10.999999999999998,0.10907683293327025,Material_Bottle_16
1775471283.344538,-0.51,-0.1,1.34,0.5197114584074514,0.38784408250997676,1.34,0.0917100000302716,0.16383174860069444,10.999999999999998,0.1188103889349247,Material_Bottle_16
1775471283.355218,-0.54,-0.11,1.45,0.5510898293381942,0.3800616891562104,1.45,0.09551061692183371,0.16605347598279,10.999999999999998,0.12877071935875076,Material_Bottle_16
1775471283.3661416,-0.58,-0.12,1.56,0.5922837157984339,0.3796688052113004,1.5600000000000003,0.09930730497394671,0.16815343596273488,11.00000000000001,0.1393143377882734,Material_Bottle_16
1775471283.3771396,-0.61,-0.12,1.67,0.6216912416947822,0.37226998169149733,1.67,0.1030300047908617,0.1700240758032313,11.00000000000001,0.14994254429370477,Material_Bottle_16
1775471283.388438,-0.64,-0.12,1.78,0.6511528238439883,0.3658159876561802,1.78,0.1066881646674235,0.17169512843436566,11.00000000000001,0.16066018547773817,Material_Bottle_16
1775471283.3994668,-0.68,-0.13,1.89,0.6923149572268391,0.3663040163612819,1.89,0.1103512048310363,0.17328006095497345,11.00000000000001,0.17188083323388725,Material_Bottle_16
1775471283.4101017,-0.71,-0.14,2.0,0.723671196055225,0.3618354171099039,2.0,0.11396955900213535,0.17470992027881652,11.00000000000001,0.1832151478789899,Material_Bottle_16
