time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1775471411.31179,-0.48,-0.7,0.53,0.8487638069569178,1.601438123620366,0.53,168502.7555340405,92156.50481642604,3.0000000000000027,0.1488420493938896,Material_EPEfoam_9
1775471411.322835,-0.5,-0.73,0.56,0.8848163651289458,1.580026401968828,0.56,166302.77133430453,93516.78057492975,3.0000000000000027,0.1603716197606146,Material_EPEfoam_9
1775471411.3336868,-0.53,-0.76,0.59,0.9265527507918802,1.5704257294341537,0.59,164102.7870385618,94806.51501226396,3.0000000000000027,0.17235418507345399,Material_EPEfoam_9
1775471411.3446689,-0.55,-0.78,0.61,0.9544108130150245,1.564605325261802,0.6099999999999999,161902.80268461508,96028.550366468,3.0000000000000027,0.18425210148359364,Material_EPEfoam_9
1775471411.3556123,-0.58,-0.81,0.64,0.9962429422585638,1.5566271650490604,0.6399999999999999,159702.81825088675,97185.44050096782,3.0000000000000027,0.19657273132959763,Material_EPEfoam_9
1775471411.3664527,-0.6,-0.83,0.67,1.0241581909060729,1.5285920333045364,0.67,157502.8335368071,98279.48631603202,3.0000000000000027,0.2088036584426969,Material_EPEfoam_9
1775471411.3774426,-0.63,-0.86,0.69,1.0660675400742674,1.5450231812334583,0.6899999999999998,155302.8489870389,99312.7640296007,3.0000000000000027,0.2214282161034956,Material_EPEfoam_9
1775471411.388608,-0.65,-0.89,0.72,1.1020889256316844,1.5306769374371485,0.7199999999999999,153102.86429380826,100287.15245606148,3.0000000000000027,0.23421889297916318,Material_EPEfoam_9
1775471411.3994,-0.68,-0.91,0.75,1.136001760562016,1.5146669945266953,0.7499999999999999,150902.8794404782,101204.35257096915,3.0000000000000027,0.24709618862762472,Material_EPEfoam_9
1775471411.4102793,-0.7,-0.94,0.77,1.1720068259186889,1.5220848101738684,0.7699999999999999,148702.8946613263,102065.90577711143,3.0000000000000027,0.2601213616601562,Material_EPEfoam_9
1775471411.421719,-0.73,-0.97,0.8,1.2140016474453401,1.517500162431472,0.8,146502.90983632792,102873.21037214447,3.0000000000000027,0.27346872630022917,Material_EPEfoam_9
1775471411.4323432,-0.75,-1.0,0.83,1.25,1.5060222819008653,0.8299999999999998,144302.92489655074,103627.53431933926,3.0000000000000027,0.28692752531305943,Material_EPEfoam_9
1775471411.4434001,-0.78,-1.02,0.85,1.2840560735419617,1.5106524269288644,0.8499999999999999,142102.94000307503,104330.02657581703,3.0000000000000027,0.3004306910702839,Material_EPEfoam_9
1775471411.4543424,-0.8,-1.05,0.88,1.3200378782444087,1.5000413388671248,0.8799999999999999,139902.95500348843,104981.72785843555,3.0000000000000027,0.3140314465007675,Material_EPEfoam_9
1775471411.4654536,-0.83,-1.08,0.91,1.3620939761998803,1.4968049224120414,0.91,137702.96997153765,105583.57857115346,3.0000000000000027,0.32789732025278195,Material_EPEfoam_9
