time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1775472159.2475448,-0.45,0.05,0.62,0.45276925690687087,0.7302718171533125,0.62,441400.1439374607,130628.91308025258,9.0,0.03841886446532405,Material_Silicone_14
1775472159.258757,-0.57,-0.0,0.7,0.57,0.8142845510220699,0.7,436400.1520803062,137669.55823576776,9.0,0.03957199804989754,Material_Silicone_14
1775472159.2696114,-0.71,-0.06,0.77,0.7125307010929424,0.925363345103373,0.77,431400.1613339396,144193.9693662853,9.0,0.046215937726720446,Material_Silicone_14
1775472159.2815783,-0.85,-0.11,0.85,0.8570880934886448,1.00833774723635,0.85,426400.171417317,150269.4041242166,9.0,0.05991174374169104,Material_Silicone_14
1775472159.2916827,-1.0,-0.15,0.93,1.0111874208078342,1.0872971328072056,0.93,421400.1822902884,155948.34518611614,9.0,0.08008447921168939,Material_Silicone_14
1775472159.3024857,-1.16,-0.19,1.02,1.1754573577973808,1.1524080444993494,1.02,416400.19381436874,161272.6839608794,9.0,0.10570987228491384,Material_Silicone_14
1775472159.3138347,-1.33,-0.23,1.11,1.3497407158413797,1.2159815314052687,1.11,411400.20597418403,166276.48819061354,9.000000000000007,0.13607146932316813,Material_Silicone_14
1775472159.3241663,-1.5,-0.26,1.19,1.5223665787188052,1.2792985709413736,1.19,406400.21876716986,170987.90070241006,9.000000000000007,0.17006201746547087,Material_Silicone_14
1775472159.33504,-1.68,-0.3,1.28,1.706575518399347,1.3332610821392694,1.28,401400.2320997806,175430.48101992064,9.000000000000007,0.20773852387531275,Material_Silicone_14
1775472159.3458705,-1.86,-0.33,1.37,1.88904737897174,1.378865693508063,1.37,396400.2458884376,179624.17727088896,9.000000000000007,0.24842751637650495,Material_Silicone_14
1775472159.3569093,-2.04,-0.36,1.46,2.071521180195848,1.4188491516073265,1.46,391400.26007692923,183586.04634445917,9.000000000000007,0.2917495518608366,Material_Silicone_14
1775472159.3678765,-2.22,-0.4,1.54,2.255748212899658,1.4647706156682094,1.54,386400.27472463535,187330.79750384213,9.000000000000007,0.3375101178209063,Material_Silicone_14
1775472159.379697,-2.4,-0.43,1.63,2.4382165613415063,1.495837463499413,1.63,381500.28968300996,190930.69154146226,9.000000000000007,0.3853613810869876,Material_Silicone_14
1775472159.3905997,-2.58,-0.46,1.72,2.620686932847951,1.523654307670723,1.72,376600.30491955305,194340.4495601583,9.000000000000007,0.435146217100608,Material_Silicone_14
