time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1775472367.491182,-0.05,0.23,0.7,0.2353720459187964,0.33624529953356697,0.7,363477.60647426895,115611.54619156795,14.999999999999991,0.03350640130640222,Material_POM_5
1775472367.5021913,-0.11,0.22,0.85,0.24596747752497686,0.28937316253154627,0.85,359677.60936800065,121119.8470127394,15.000000000000002,0.03660054283434437,Material_POM_5
1775472367.5130916,-0.19,0.22,1.01,0.2906888370749727,0.28781044481636425,1.01,355877.612246105,126274.00810571096,16.000000000000004,0.037976397427176886,Material_POM_5
1775472367.5240185,-0.26,0.22,1.17,0.34058772731852804,0.29110037283603013,1.1699999999999997,352077.6151571088,131115.79968239492,16.000000000000004,0.03830551882973059,Material_POM_5
1775472367.5348444,-0.34,0.24,1.33,0.4161730409336963,0.3129118255803539,1.33,348277.61828622705,135678.66679012295,16.000000000000014,0.038361744071890636,Material_POM_5
1775472367.5458388,-0.43,0.26,1.49,0.5024937810560445,0.33724392202155873,1.49,344477.6216586663,139989.88605417896,16.000000000000014,0.03987498717424042,Material_POM_5
1775472367.5570638,-0.52,0.28,1.65,0.590592922409336,0.35793488756027186,1.65,340677.62523801514,144072.05031948778,16.000000000000014,0.04440799802780861,Material_POM_5
1775472367.5680556,-0.61,0.3,1.82,0.6797793759742936,0.3735049464117292,1.82,336877.6289730645,147944.12160867403,17.000000000000014,0.05261168958060807,Material_POM_5
1775472367.5792835,-0.7,0.32,1.98,0.7696752561957543,0.38872468054094633,1.98,333077.6328603115,151622.19662453452,17.000000000000014,0.06423410541596002,Material_POM_5
1775472367.5900528,-0.79,0.34,2.15,0.8600581375697809,0.4000268546711285,2.15,329277.63686058,155120.07569812183,17.000000000000014,0.07868402629567395,Material_POM_5
1775472367.600879,-0.88,0.37,2.31,0.9546203433826455,0.4132553810074738,2.31,325477.64099313377,158449.6930720456,17.000000000000014,0.09563418469093905,Material_POM_5
1775472367.612015,-0.97,0.39,2.48,1.0454664030948102,0.4215588635225591,2.4800000000000004,321677.64520872245,161621.44843446312,17.000000000000014,0.11441057258660962,Material_POM_5
1775472367.622907,-1.06,0.41,2.64,1.1365298060323803,0.4305035513366776,2.64,317877.64951375796,164644.46532055925,17.000000000000014,0.1347393450049602,Material_POM_5
1775472367.6338408,-1.16,0.44,2.81,1.2406449935416657,0.44151051673706365,2.81,314077.6539288631,167526.7958376439,17.000000000000014,0.15707809355476443,Material_POM_5
1775472367.6448286,-1.25,0.46,2.98,1.331953452640144,0.44696409586444563,2.98,310277.6583985041,170275.58462630375,17.000000000000014,0.18050105328440263,Material_POM_5
1775472367.6557126,-1.34,0.49,3.14,1.4267795905464866,0.4543882599230021,3.14,306477.66294238664,172897.20107180224,17.000000000000014,0.20508235890075346,Material_POM_5
1775472367.6668553,-1.43,0.51,3.31,1.5182226450688976,0.45867739770135946,3.31,302677.6675291606,175397.3477570268,17.000000000000014,0.23055806041201887,Material_POM_5
1775472367.6774604,-1.52,0.53,3.47,1.6097515336225028,0.4639052074113243,3.47,298877.6721682127,177781.14945180493,17.000000000000014,0.25686979832908474,Material_POM_5
1775472367.688688,-1.61,0.56,3.64,1.704611392664029,0.46829970449569347,3.64,295077.6768512097,180053.22725569198,17.000000000000014,0.2841032051077723,Material_POM_5
1775472367.6995387,-1.7,0.58,3.81,1.7962182495454164,0.4714482357210448,3.81,291277.68156569207,182217.760503235,17.000000000000014,0.31205003881172594,Material_POM_5
1775472367.710342,-1.79,0.61,3.98,1.8910843450253614,0.47514670097453776,3.98,287377.6863171591,184225.58299025084,17.000000000000014,0.34083781492973947,Material_POM_5
1775472367.7213678,-1.88,0.63,4.14,1.9827506146764902,0.4789251535631248,4.14,283477.69110641064,186130.0584700978,17.000000000000014,0.3702439871065414,Material_POM_5
