time,Fx,Fy,Fz,Ft,mu,k_eff,mu_mean,mu_std,slip,micro,material
1775471228.4451346,-0.22,0.45,0.56,0.5008991914547277,0.8944612446312197,0.56,228800.6874349262,96146.99911959369,6.000000000000003,0.06590011383167213,Material_Bottle_7
1775471228.4558752,-0.24,0.4,0.6,0.46647615158762407,0.777458956881112,0.6,226200.69520951578,98748.39490916164,6.000000000000003,0.06803399426325074,Material_Bottle_7
1775471228.4671807,-0.26,0.32,0.62,0.41231056256176607,0.6650159637835521,0.62,223600.70185967538,101216.2345588343,6.000000000000003,0.06893101199953022,Material_Bottle_7
1775471228.4781327,-0.28,0.24,0.64,0.3687817782917155,0.5762206282360738,0.6399999999999999,221000.70762188165,103560.06586053959,6.000000000000003,0.06920289539684493,Material_Bottle_7
1775471228.488649,-0.3,0.15,0.67,0.33541019662496846,0.5006114865872864,0.67,218400.71262799655,105788.13134750753,6.000000000000003,0.06919914103515283,Material_Bottle_7
1775471228.4996011,-0.32,0.06,0.69,0.32557641192199416,0.4718491885113125,0.6899999999999998,215800.7173464884,107907.60122974409,6.000000000000003,0.06914257794796419,Material_Bottle_7
1775471228.5115762,-0.34,-0.04,0.71,0.34234485537247383,0.4821751735173244,0.7099999999999999,213200.7221682402,109924.75643529829,6.000000000000003,0.06916256225701709,Material_Bottle_7
1775471228.5213952,-0.36,-0.15,0.74,0.38999999999999996,0.5270263148293042,0.7399999999999999,210600.72743850332,111845.13227134563,6.000000000000003,0.06962050499972319,Material_Bottle_7
1775471228.5328941,-0.39,-0.26,0.77,0.4687216658103186,0.6087286455606143,0.7699999999999999,207900.73352578978,113623.43512613859,6.000000000000003,0.07151183804912617,Material_Bottle_7
1775471228.5437667,-0.41,-0.38,0.8,0.5590169943749475,0.6987703695057224,0.8,205200.74051349348,115311.12740383761,6.000000000000003,0.07582236291842204,Material_Bottle_7
1775471228.5547528,-0.43,-0.5,0.83,0.6594694837519018,0.7945405894112199,0.8299999999999998,202500.74845889938,116912.13317710883,6.000000000000003,0.0834844907364387,Material_Bottle_7
1775471228.5656242,-0.44,-0.63,0.85,0.7684399781375251,0.9040459695194771,0.8499999999999999,199800.75749935902,118429.96796895181,6.000000000000003,0.0950300359569076,Material_Bottle_7
1775471228.5764673,-0.45,-0.76,0.88,0.8832326986700617,1.003672380679183,0.8799999999999999,197100.76753608283,119867.79153359644,6.000000000000003,0.11046355897224343,Material_Bottle_7
1775471228.5876908,-0.46,-0.88,0.91,0.9929753269845127,1.0911804789055317,0.9099999999999998,194400.7784478876,121228.45107202316,6.000000000000003,0.12898859526787396,Material_Bottle_7
1775471228.598194,-0.47,-1.0,0.94,1.104943437466371,1.175470491484978,0.9399999999999998,191700.7902025925,122514.51769558588,6.000000000000003,0.15021883308167144,Material_Bottle_7
1775471228.6094055,-0.48,-1.12,0.98,1.2185236969382254,1.243390258722415,0.9799999999999999,189000.8026364951,123728.31775004663,6.000000000000003,0.17380409950733094,Material_Bottle_7
1775471228.6200237,-0.49,-1.23,1.01,1.324009063413087,1.3108987648656656,1.0099999999999998,186300.81574548277,124871.95867399834,6.000000000000003,0.198999182257794,Material_Bottle_7
1775471228.630943,-0.5,-1.34,1.05,1.43024473430249,1.3621365449199478,1.0499999999999998,183600.82936684825,125947.35196238589,6.000000000000003,0.225645496705127,Material_Bottle_7
1775471228.6431456,-0.51,-1.44,1.1,1.5276452467768817,1.3887671436452165,1.1,180900.84325451966,126956.23230213874,6.000000000000003,0.25318346408387665,Material_Bottle_7
1775471228.65326,-0.52,-1.54,1.14,1.625423021862309,1.425808417591133,1.14,178200.85751260386,127900.17354305625,6.000000000000003,0.28157437772943816,Material_Bottle_7
1775471228.6647458,-0.53,-1.64,1.19,1.7235138525698015,1.448329751462227,1.19,175500.87199590134,128780.60389387241,6.000000000000003,0.3107774164541944,Material_Bottle_7
1775471228.6751783,-0.54,-1.74,1.23,1.821867174082677,1.4811916202366318,1.2299999999999998,172800.88680781756,129598.81762209864,6.000000000000003,0.3407513893472832,Material_Bottle_7
1775471228.6860688,-0.55,-1.84,1.28,1.920442657305862,1.500344653875944,1.28,170100.9018112641,130355.98648942578,6.000000000000003,0.37145566665761814,Material_Bottle_7
1775471228.6971333,-0.56,-1.93,1.33,2.009601950635996,1.5109777741791142,1.33,167400.91692104188,131053.16869367922,6.000000000000003,0.4024794771031719,Material_Bottle_7
1775471228.7079701,-0.57,-2.02,1.38,2.0988806540630174,1.5209269080696446,1.3799999999999997,164700.93213031095,131691.3169730235,6.000000000000003,0.43383471683305463,Material_Bottle_7
1775471228.718842,-0.58,-2.11,1.43,2.188264152244879,1.5302535818120961,1.4299999999999997,162000.94743284676,132271.28577875876,6.000000000000003,0.465524221809912,Material_Bottle_7
1775471228.7299857,-0.59,-2.19,1.48,2.2680828909014767,1.5324874043338328,1.4799999999999998,159300.9627577208,132793.837489519,6.000000000000003,0.49720343736050326,Material_Bottle_7
1775471228.7407808,-0.6,-2.28,1.54,2.3576259245266202,1.530924930910188,1.54,156600.97806697007,133259.6476027958,6.000000000000005,0.5292380068374504,Material_Bottle_7
1775471228.7518327,-0.62,-2.37,1.59,2.449755089799795,1.540725502562448,1.59,153900.9934742251,133669.3091866013,6.000000000000005,0.5616970570277068,Material_Bottle_7
1775471228.762752,-0.63,-2.47,1.65,2.549078264785136,1.5448949817516089,1.6499999999999997,151201.00892317493,134023.3371895154,6.000000000000005,0.5947901157633866,Material_Bottle_7
1775471228.7739413,-0.64,-2.57,1.71,2.6484901359076267,1.5488237351367788,1.7099999999999997,148501.02441141228,134322.1715115777,6.000000000000005,0.6284688290895405,Material_Bottle_7
1775471228.7845676,-0.65,-2.67,1.77,2.747981077081864,1.5525308048311068,1.77,145801.0399367203,134566.17986782396,6.000000000000005,0.6626885238852239,Material_Bottle_7
1775471228.7959673,-0.66,-2.76,1.83,2.837816061692512,1.5507183120077597,1.8299999999999996,143101.05544390343,134755.66014722193,6.000000000000005,0.6971025744659405,Material_Bottle_7
1775471228.8066146,-0.67,-2.86,1.89,2.937430850249925,1.5541953947378468,1.8899999999999997,140401.07098585737,134890.84207951665,6.000000000000005,0.7319999932391142,Material_Bottle_7
1775471228.8175826,-0.69,-2.95,1.95,3.0296204382727554,1.5536507100625874,1.9499999999999997,137701.08652236447,134971.8888564626,6.000000000000005,0.7671154012537245,Material_Bottle_7
1775471228.8287928,-0.7,-3.05,2.02,3.12929704566377,1.5491561863898926,2.0199999999999996,135001.10201392637,134998.89801761514,7.000000000000006,0.8026536839839403,Material_Bottle_7
1775471228.8395882,-0.71,-3.15,2.08,3.229024620531717,1.5524149365946058,2.0799999999999996,132301.11753807572,134971.90192460569,7.000000000000006,0.838579094028329,Material_Bottle_7
1775471228.8510184,-0.72,-3.26,2.13,3.3385625649371913,1.5673995293604046,2.13,129601.13321207103,134890.8680420609,7.000000000000006,0.8751406539549582,Material_Bottle_7
1775471228.8613935,-0.73,-3.37,2.17,3.44815892905185,1.589012599096429,2.17,126901.14910219701,134755.69883148125,7.000000000000006,0.9122845463279657,Material_Bottle_7
1775471228.8756714,-0.73,-3.48,2.21,3.555741835398065,1.6089322291700614,2.2099999999999995,124201.16519151929,134566.231187894,7.000000000000006,0.9499018168724999,Material_Bottle_7
1775471228.8834276,-0.74,-3.58,2.26,3.6556805112044457,1.617557032587351,2.2599999999999993,121501.1813670896,134322.2354544197,7.000000000000006,0.9877344512500766,Material_Bottle_7
1775471228.8948383,-0.74,-3.69,2.3,3.763469144286957,1.636290220868146,2.3,118801.19772999179,134023.41373438123,7.000000000000006,1.0259733892232303,Material_Bottle_7
1775471228.9050443,-0.75,-3.79,2.33,3.8634958263210275,1.6581520035060187,2.33,116101.21431151184,133669.39831733226,7.000000000000006,1.0643664598724991,Material_Bottle_7
